"publishedTimeText","simpleText","votes","author","isReply","isHearted","isPinned","isPaid","paidAmount","isSponsor","sponsorshipMonths"
"1 month ago"," @PoliCarts  lol, deserve 🤣","0","@Leon-mk1wn","true","false","false","false","","false",""
"1 month ago","3:06 okay I’m clicking off","2","@MooniePc","false","false","false","false","","false",""
"1 month ago","3.1 million likes to 20 million dislikes uh yea","2","@wonttakemein272","false","false","false","false","","false",""
"1 month ago","U just made this? Coment","0","@Diamond_Ski","true","false","false","false","","false",""
"1 month ago","FUNNEH?","2","@Imightchangemychannel","false","false","false","false","","false",""
"1 month ago","20M Dislikes","2","@PenguinOnVR","false","false","false","false","","false",""
"1 month ago","20,400,000 dislikes later...","2","@aydensalmon1240","false","false","false","false","","false",""
"1 month ago","yah...","1","@Dauntlesscubing","true","false","false","false","","false",""
"1 month ago","First time watching this in 2024","2","@NoUsEr730","false","false","false","false","","false",""
"1 month ago","DAM 20M DISLIKES","2","@adamsafran6366","false","false","false","false","","false",""
"1 month ago","20 MILLION DISLIKES","2","@BeytarayRoblox40","false","false","false","false","","false",""
"1 month ago","tbf it's bad but not that bad  or maybe im just desensitized im not sure anymore","2","@sens_ejjw","false","false","false","false","","false",""
"1 month ago","nevermind its horrible","1","@sens_ejjw","true","false","false","false","","false",""
"1 month ago","it has 3.1M likes and 20M dislikes.","2","@sobbyy","false","false","false","false","","false",""
"1 month ago","I’m sorta Pissed off they gave up on: YouTube Rewind 2020  YouTube Rewind 2021  YouTube Rewind 2022 &  YouTube Rewind 2023","2","@LSXhasArrived","false","false","false","false","","false",""
"1 month ago","""It's rewind time"" - Will smith, 2018","2","@ukalik","false","false","false","false","","false",""
"1 month ago","20 million dislikes","2","@bfdiisgreat386","false","false","false","false","","false",""
"1 month ago","this video is why covid happened","2","@Zyrog","false","false","false","false","","false",""
"1 month ago","How do we see the dislikes","2","@Loganjourney27066","false","false","false","false","","false",""
"1 month ago","Google show youtube dislikes and you'll get an add-on for whatever browser you use :)","0","@Kinky_Oreo","true","false","false","false","","false",""
"1 month ago","This was horrible holy","2","@shelovesjuju","false","false","false","false","","false",""
"1 month ago","the only reason YouTube removed dislikes is because of this video","2","@shellowWaves","false","false","false","false","","false",""
"1 month ago","aa das hot daas hot 😭😭😭","2","@distressedsquid500","false","false","false","false","","false",""
"1 month ago","For those wondering, you can easily return youtube dislikes. They're not gone, just not shown by default. There's a Chrome and Firefox extension to return them. And you may like to know this has surpassed 20m.","2","@TravisBlack","false","false","false","false","","false",""
"1 month ago","6:53","2","@nicolafone776","false","false","false","false","","false",""
"1 month ago","cringe be like-","2","@mrbuttertoast","false","false","false","false","","false",""
"1 month ago","Lemme guess, odd1stout?","2","@wwonderless","false","false","false","false","","false",""
"1 month ago","yes","0","@TheChosenOne-rv1zn","true","false","false","false","","false",""
"1 month ago","20m dislikes is actually so funny and its an official yt video 💀","2","@RandomnessToons","false","false","false","false","","false",""
"1 month ago","anyone here in 2024?","2","@oldchip8890","false","false","false","false","","false",""
"1 month ago","20 mil dislikes","2","@Mac_N_Cheese","false","false","false","false","","false",""
"1 month ago","20m now, dislikes tuirned on using yt dislike shower","2","@polistes5288","false","false","false","false","","false",""
"1 month ago","Ok why it is bad ??? It is not that bad","2","@Yokiwas_here","false","false","false","false","","false",""
"1 month ago","gen alphas may be more appealed to these kinda videos. but in 2018 millenials and most zoomers agreed that it was cringe. also no pewdiepie again  to see what a better version of a 2018 rewind would look like, watch pewdiepies video: youtube rewind, but its actually good","0","@santiagogalf","true","false","false","false","","false",""
"1 month ago","20 million dislikes","2","@Itnotmeplz","false","false","false","false","","false",""
"1 month ago","It's very bab","2","@damsakspetsland6219","false","false","false","false","","false",""
